institution;acronym
Amt für Umweltschutz Stuttgart, Abteilung Stadtklimatologie;AfUSklima
BKR Aachen Noky & Simon;BKR
Climate Service Center Germany GERICS am Helmholtz-Zentrum Geesthacht;GERICS
Deutscher Wetterdienst;DWD
Deutscher Wetterdienst, Geschäftsbereich Forschung und Entwicklung, Meteorologisches Observatorium Lindenberg;DWDfelg
Deutscher Wetterdienst, Geschäftsbereich Klima und Umwelt, Abteilung Klima- und Umweltberatung;DWDku1
Deutscher Wetterdienst, Geschäftsbereich Klima und Umwelt, Abteilung Klima- und Umweltberatung, Regionales Klimabüro Essen;DWDku1em
Deutscher Wetterdienst, Geschäftsbereich Klima und Umwelt, Abteilung Klima- und Umweltberatung, Zentrales Klimabüro;DWDku11zkb
Deutscher Wetterdienst, Geschäftsbereich Klima und Umwelt, Abteilung Klima- und Umweltberatung, Zentrum für Medizin-Meteorologische Forschung;DWDku1zmmf
Deutsches Institut für Urbanistik Köln;DifuK
Deutsches Zentrum für Luft- und Raumfahrt;DLR
Deutsches Zentrum für Luft- und Raumfahrt, Deutsches Fernerkundungsdatenzentrum;DLRdfd
Deutsches Zentrum für Luft- und Raumfahrt, Institut für Physik der Atmosphäre;DLRpa
Forschungsinstitut für Wasser- und Abfallwirtschaft an der RWTH Aachen;FiW
Forschungszentrum Jülich GmbH;FZJ
Forschungszentrum Jülich GmbH, Institut für Energie- und Klimaforschung, IEK-8: Troposphäre;FZJiek8
Fraunhofer-Institut für Bauphysik;FIBP
Fraunhofer-Institut für Bauphysik, Hygrothermik;FIBPhygro
Freie Universität Berlin;FUB
Freie Universität Berlin, Institut für Meteorologie;FUBmeteo
GEO-NET Umweltconsulting GmbH;GEONET
Hochschule Offenburg;HSOG
Humboldt-Universität zu Berlin;HUB
Humboldt-Universität zu Berlin, Geographisches Institut;HUBgeo
Ingenieursgesellschaft Prof. Sieker mbH;IPS
Institut für transformative Nachhaltigkeitsforschung;IASS
Karlsruher Institut für Technologie;KIT
Karlsruher Institut für Technologie, Institut für Meteorologie und Klimaforschung;KITimk
Karlsruher Institut für Technologie, Institut für Meteorologie und Klimaforschung, Atmosphärische Aerosolforschung;KITimkaaf
Karlsruher Institut für Technologie, Institut für Meteorologie und Klimaforschung, Institut für Atmosphärische Umweltforschung;KITimkifu
Karlsruher Institut für Technologie, Institut für Meteorologie und Klimaforschung, Troposphärenforschung;KITimktro
Leibniz Universität Hannover;LUH
Leibniz Universität Hannover, Institut für Meteorologie und Klimatologie;LUHimuk
Senatsverwaltung für Stadtentwicklung und Wohnen Berlin;SenSWB
Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin;SenUVKB
Technische Universität Berlin;TUB
Technische Universität Berlin, Fachgebiet Klimatologie;TUBklima
Technische Universität Braunschweig;TUBS
Technische Universität Braunschweig, Institut für Geoökologie, Klimatologie und Umweltmeteorologie;TUBSgeo
Technische Universität Dortmund;TUDO
Technische Universität Dortmund, Sozialforschungsstelle;TUDOsfs
Technische Universität Dresden;TUDD
Technische Universität Dresden, Professur für Meteorologie;TUDDmeteo
Universität Augsburg;UA
Universität Augsburg, Institut für Geographie;UAgeo
Universität Hamburg;UHH
Universität Hamburg, Meteorologisches Institut;UHHmeteo
Universität Stuttgart;US
Universität Stuttgart, Institut für Feuerungs- und Kraftwerkstechnik;USifk
