long_name	standard_name	units	variable	acronym	AMIP
surface albedo	surface_albedo	1	albedo_surf	TUBklima	N
albedo type classification		1	albedo_type	LUHimuk	N
basal area density		m2 m-3	bad	LUHimuk	N
building id number		1	building_id	LUHimuk	N
building type classification		1	building_type	LUHimuk	N
building height		m	buildings_2d	LUHimuk	N
building flag		1	buildings_3d	LUHimuk	N
cold air flow		m3 s-1	caf	SenSWB	N
coverage of plants with liquid water		1	cliq	LUHimuk	N
cloud area fraction	cloud_area_fraction	1	clt		Y
coverage of land surface with bare soil		1	csoil	LUHimuk	N
city structure		1	cstr	SenSWB	N
vegetation area fraction	vegetation_area_fraction	1	cveg	LUHimuk	N
divergence of velocity field after pressure solver		s-1	divnew	LUHimuk	N
divergence of velocity field before pressure solver		s-1	divold	LUHimuk	N
time step		s	dt	LUHimuk	N
emission of anthropogenic heat from buildings		K s-1	eahb	LUHimuk	N
absolute atmospheric humidity		kg m-3	haa	KITimktro	N
hail duration		s	hdu	FZJiek8	N
downward heat flux at ground level in soil	downward_heat_flux_at_ground_level_in_soil	W m-2	hfdg	TUBklima	N
downward heat flux in soil	downward_heat_flux_in_soil	W m-2	hfds	UHHmeteo	N
surface upward latent heat flux	surface_upward_latent_heat_flux	W m-2	hfls		Y
upward latent heat flux in air	upward_latent_heat_flux_in_air	W m-2	hfla	TUBklima	N
surface upward sensible heat flux	surface_upward_sensible_heat_flux	W m-2	hfss		Y
upward sensible heat flux in air	upward_sensible_heat_flux_in_air	W m-2	hfsa	TUBklima	N
relative humidity	relative_humidity	1	hur		Y
specific humidity	specific_humidity	g kg-1	hus		Y
photolysis rate of nitrogen dioxide	photolysis_rate_of_nitrogen_dioxide	s-1	jno2	FZJiek8	N
mixing length		m	l	LUHimuk	N
leaf area density		m2 m-3	lad	LUHimuk	N
leaf area index	leaf_area_index	m2 m-2	lai	LUHimuk	N
mass concentration of liquid water in air	mass_concentration_of_liquid_water_in_air	kg m-3	lwc	hdcp2	N
liquid water content of soil layer	liquid_water_content_of_soil_layer	kg m-2	lwcs	UHHmeteo, TUBklima	N
liquid water path	atmosphere_mass_content_of_cloud_liquid_water	kg m-2	lwp	KITimk, LUHimuk	N
liquid water level on plants		m	m_liq	LUHimuk	N
soil moisture volumetric		m3 m-3	m_soil	LUHimuk	N
mass concentration of ambient aerosol particles in air		kg m-3	mcaa	FZJiek8	N
mass concentration of arsenic dry aerosol particles in air		kg m-3	mcasda	SenUVKB	N
mass concentration of black carbon dry aerosol particles in air		kg m-3	mcbcda	USifk	N
mass concentration of benzene in air	mass_concentration_of_benzene_in_air	kg m-3	mcbenz	SenUVKB	N
mass concentration of calcium dry aerosol particles in air		kg m-3	mccada	SenUVKB	N
mass concentration of elemental carbon dry aerosol particles in air	mass_concentration_of_elemental_carbon_dry_aerosol_particles_in_air	kg m-3	mccda	SenUVKB	N
mass concentration of cadmium dry aerosol particles in air		kg m-3	mccdda	SenUVKB	N
mass concentration of chloride dry aerosol particles in air		kg m-3	mcclda	SenUVKB	N
mass concentration of carbon monoxide in air	mass_concentration_of_carbon_monoxide_in_air	kg m-3	mcco	SenUVKB	N
mass concentration of carbon dioxide in air	mass_concentration_of_carbon_dioxide_in_air	kg m-3	mcco2	TUBSgeo	N
mass concentration of potassium dry aerosol particles in air		kg m-3	mckda	SenUVKB	N
mass concentration of magnesium dry aerosol particles in air		kg m-3	mcmgda	SenUVKB	N
mass concentration of sodium dry aerosol particles in air		kg m-3	mcnada	SenUVKB	N
mass concentration of ammonium dry aerosol particles in air	mass_concentration_of_ammonium_dry_aerosol_particles_in_air	kg m-3	mcnh4da	SenUVKB	N
mass concentration of nickel dry aerosol particles in air		kg m-3	mcnida	SenUVKB	N
mass concentration of nitrogen monoxide in air	mass_concentration_of_nitrogen_monoxide_in_air	kg m-3	mcno	USifk	N
mass concentration of nitrogen dioxide in air	mass_concentration_of_nitrogen_dioxide_in_air	kg m-3	mcno2	SenUVKB	N
mass concentration of nitrate dry aerosol particles in air	mass_concentration_of_nitrate_dry_aerosol_particles_in_air	kg m-3	mcno3da	SenUVKB	N
mass concentration of nitrogen oxides in air		kg m-3	mcnox	SenUVKB	N
mass concentration of ozone in air	mass_concentration_of_ozone_in_air	kg m-3	mco3	SenUVKB	N
mass concentration of lead dry aerosol particles in air		kg m-3	mcpbda	SenUVKB	N
mass concentration of pm ambient aerosol particles in air		kg m-3	mcpm	USifk	N
mass concentration of pm1 ambient aerosol particles in air	mass_concentration_of_pm1_ambient_aerosol_particles_in_air	kg m-3	mcpm1	HUBgeo	N
mass concentration of pm10 ambient aerosol particles in air	mass_concentration_of_pm10_ambient_aerosol_particles_in_air	kg m-3	mcpm10	SenUVKB	N
mass concentration of pm2p5 ambient aerosol particles in air	mass_concentration_of_pm2p5_ambient_aerosol_particles_in_air	kg m-3	mcpm2p5	USifk	N
mass concentration of sulfur dioxide in air	mass_concentration_of_sulfur_dioxide_in_air	kg m-3	mcso2	SenUVKB	N
mass concentration sulfate ambient aerosol particles in air		kg m-3	mcso4aa	SenUVKB	N
mole fraction of 1-1-dimethylcyclohexane in air		mol mol-1	mf11mecycc6	FZJiek8	N
mole fraction of 1-2-3-4-tetramethylbenzene in air		mol mol-1	mf1234mebenz	FZJiek8	N
mole fraction of 1-2-3-5-tetramethylbenzene in air		mol mol-1	mf1235mebenz	FZJiek8	N
mole fraction of 1-2-3-trimethylbenzene in air		mol mol-1	mf123mebenz	FZJiek8	N
mole fraction of 1-2-4-5-tetramethylbenzene in air		mol mol-1	mf1245mebenz	FZJiek8	N
mole fraction of 1-2-dimethyl-4-ethylbenzene in air		mol mol-1	mf12me4etbenz	FZJiek8	N
mole fraction of 4-ethenyl-1-2-dimethylbenzene in air		mol mol-1	mf12me4etenbenz	FZJiek8	N
mole fraction of 1-2-methyl isopropylbenzene in air		mol mol-1	mf12meisopbenz	FZJiek8	N
mole fraction of 1-2-methyl-n-propylbenzene in air		mol mol-1	mf12mepropbenz	FZJiek8	N
mole fraction of mesitylene in air		mol mol-1	mf135mebenz	FZJiek8	N
mole fraction of diethyl-1-3-benzene in air		mol mol-1	mf13etbenz	FZJiek8	N
mole fraction of 1-3-dimethyl-2-ethylbenzene in air		mol mol-1	mf13me2etbenz	FZJiek8	N
mole fraction of 1-3-dimethyl-4-ethylbenzene in air		mol mol-1	mf13me4etbenz	FZJiek8	N
mole fraction of 1-3-methyl-isopropylbenzene in air		mol mol-1	mf13meisopbenz	FZJiek8	N
mole fraction of 1-3-methyl-n-propylbenzene in air		mol mol-1	mf13mepropbenz	FZJiek8	N
mole fraction of diethyl-1-4-benzene in air		mol mol-1	mf14etbenz	FZJiek8	N
mole fraction of 1-ethenyl-3-ethylbenzene in air		mol mol-1	mf1eten3etbenz	FZJiek8	N
mole fraction of 1-methylcyclohexene in air		mol mol-1	mf1mecycc6en	FZJiek8	N
mole fraction of 2-2-4-trimethylpentane in air		mol mol-1	mf224mec5	FZJiek8	N
mole fraction of 2-2-dimethylbutane in air		mol mol-1	mf22mec4	FZJiek8	N
mole fraction of 2-3-4-trimethylpentane in air		mol mol-1	mf234mec5	FZJiek8	N
mole fraction of 2-3-dimethylbutane in air		mol mol-1	mf23mec4	FZJiek8	N
mole fraction of 2-3-dimethylpentane in air		mol mol-1	mf23mec5	FZJiek8	N
mole fraction of 2-3-dimethyl-2-pentene in air		mol mol-1	mf23mec5en2	FZJiek8	N
mole fraction of 2-4-dimethylpentane in air		mol mol-1	mf24mec5	FZJiek8	N
mole fraction of 2-4-dimethylhexane in air		mol mol-1	mf24mec6	FZJiek8	N
mole fraction of 2-5-dimethylhexane in air		mol mol-1	mf25mec6	FZJiek8	N
mole fraction of 2-6-dimethyloctane in air		mol mol-1	mf26mec6	FZJiek8	N
mole fraction of 2-ethyltoluene in air		mol mol-1	mf2ettol	FZJiek8	N
mole fraction of 2-methylbutane in air		mol mol-1	mf2mec4	FZJiek8	N
mole fraction of 2-methyl-1-butene in air		mol mol-1	mf2mec4en1	FZJiek8	N
mole fraction of 2-methyl-2-butene in air		mol mol-1	mf2mec4en2	FZJiek8	N
mole fraction of 2-methylpentane in air		mol mol-1	mf2mec5	FZJiek8	N
mole fraction of 2-methylhexane in air		mol mol-1	mf2mec6	FZJiek8	N
mole fraction of 2-methyl-heptane in air		mol mol-1	mf2mec7	FZJiek8	N
mole fraction of 3-6-dimethyloctane in air		mol mol-1	mf36mec8	FZJiek8	N
mole fraction of 3-ethyltoluene in air		mol mol-1	mf3ettol	FZJiek8	N
mole fraction of 3-methylpentane in air		mol mol-1	mf3mec5	FZJiek8	N
mole fraction of 3-methylhexane in air		mol mol-1	mf3mec6	FZJiek8	N
mole fraction of 3-methyl-heptane in air		mol mol-1	mf3mec7	FZJiek8	N
mole fraction of 4-ethyltoluene in air		mol mol-1	mf4ettol	FZJiek8	N
mole fraction of 4-methyl-heptane in air		mol mol-1	mf4mec7	FZJiek8	N
mole fraction of 4-methyloctane in air		mol mol-1	mf4mec8	FZJiek8	N
mole fraction of 5-methylnonane in air		mol mol-1	mf5mec9	FZJiek8	N
mole fraction of alpha-phellandrene in air		mol mol-1	mfaphel	FZJiek8	N
mole fraction of alpha-pinene in air		mol mol-1	mfapine	FZJiek8	N
mole fraction of alpha-terpinene in air		mol mol-1	mfaterp	FZJiek8	N
mole fraction of benzene in air	mole_fraction_of_benzene_in_air	mol mol-1	mfbenz	FZJiek8	N
mole fraction of beta pinene in air		mol mol-1	mfbpine	FZJiek8	N
mole fraction of butylbenzene in air		mol mol-1	mfbutbenz	FZJiek8	N
mole fraction of n-butylcyclopentane in air		mol mol-1	mfbutcycc5	FZJiek8	N
mole fraction of decane in air		mol mol-1	mfc10	FZJiek8	N
mole fraction of undecane in air		mol mol-1	mfc11	FZJiek8	N
mole fraction of dodecane in air		mol mol-1	mfc12	FZJiek8	N
mole fraction of cis-1-2-dimethylcyclopentane in air		mol mol-1	mfc12mecycc5	FZJiek8	N
mole fraction of cis-1-3-dimethylcyclohexane in air		mol mol-1	mfc13mecycc5	FZJiek8	N
mole fraction of cis-1-4-dimethylcyclohexane in air		mol mol-1	mfc14mecycc5	FZJiek8	N
mole fraction of 1cis-2trans-4-trimethylcyclopentane in air		mol mol-1	mfc1t24mecycc5	FZJiek8	N
mole fraction of ethane in air	mole_fraction_of_ethane_in_air	mol mol-1	mfc2	FZJiek8	N
mole fraction of acetaldehyde in air	mole_fraction_of_acetaldehyde_in_air	mol mol-1	mfc2al	FZJiek8	N
mole fraction of ethene in air	mole_fraction_of_ethene_in_air	mol mol-1	mfc2en	FZJiek8	N
mole fraction of ethyne in air	mole_fraction_of_ethyne_in_air	mol mol-1	mfc2in	FZJiek8	N
mole fraction of ethanol in air	mole_fraction_of_ethanol_in_air	mol mol-1	mfc2ol	FZJiek8	N
mole fraction of propane in air	mole_fraction_of_propane_in_air	mol mol-1	mfc3	FZJiek8	N
mole fraction of propanal in air		mol mol-1	mfc3al	FZJiek8	N
mole fraction of propene in air	mole_fraction_of_propene_in_air	mol mol-1	mfc3en	FZJiek8	N
mole fraction of propyne in air		mol mol-1	mfc3in	FZJiek8	N
mole fraction of 1-propanol in air		mol mol-1	mfc3ol1	FZJiek8	N
mole fraction of 2-propanol in air		mol mol-1	mfc3ol2	FZJiek8	N
mole fraction of acetone in air	mole_fraction_of_acetone_in_air	mol mol-1	mfc3on	FZJiek8	N
mole fraction of butane in air	mole_fraction_of_butane_in_air	mol mol-1	mfc4	FZJiek8	N
