institution	acronym	offical English title
Amt für Umweltschutz Stuttgart, Abteilung Stadtklimatologie	AfUSklima	Amt für Umweltschutz Stuttgart, Department for Urban Climatology
Climate Service Center Germany GERICS am Helmholtz-Zentrum Geesthacht	GERICS	Climate Service Center Germany GERICS
BKR Aachen Noky & Simon	BKR	BKR Aachen Noky & Simon
Deutscher Wetterdienst	DWD	German Meteorological Service
Deutscher Wetterdienst, Geschäftsbereich Klima und Umwelt, Abteilung Klima- und Umweltberatung	DWDku1	German Meteorological Service, Business Area Climate and Environment, Climate and Environment Consultancy
Deutscher Wetterdienst, Geschäftsbereich Klima und Umwelt, Abteilung Klima- und Umweltberatung, Regionales Klimabüro Essen	DWDku1em	German Meteorological Service, Business Area Climate and Environment, Climate and Environment Consultancy, Regional Climate Office Essen
Deutscher Wetterdienst, Geschäftsbereich Klima und Umwelt, Abteilung Klima- und Umweltberatung, Zentrum für Medizin-Meteorologische Forschung	DWDku1zmmf	German Meteorological Service, Business Area Climate and Environment, Climate and Environment Consultancy, Centre for Human Biometeorological Research (ZMMF)
Deutscher Wetterdienst, Geschäftsbereich Klima und Umwelt, Abteilung Klima- und Umweltberatung, Zentrales Klimabüro	DWDku11zkb	German Meteorological Service, Business Area Climate and Environment, Climate and Environment Consultancy, Central Climate Office
Deutscher Wetterdienst, Geschäftsbereich Forschung und Entwicklung, Meteorologisches Observatorium Lindenberg	DWDfelg	German Meteorological Service, Business Area Research and Development, Lindenberg Meteorological Observatory
Deutsches Institut für Urbanistik Köln	DifuK	German Institute of Urban Affairs Cologne
Deutsches Zentrum für Luft- und Raumfahrt	DLR	German Aerospace Center
Deutsches Zentrum für Luft- und Raumfahrt, Deutsches Fernerkundungsdatenzentrum	DLRdfd	German Aerospace Center, German Remote Sensing Data Center
Deutsches Zentrum für Luft- und Raumfahrt, Institut für Physik der Atmosphäre	DLRpa	German Aerospace Center, Institute of Atmospheric Physics
Forschungsinstitut für Wasser- und Abfallwirtschaft an der RWTH Aachen	FiW	Research Institute for Water and Waste Management at RWTH Aachen
Forschungszentrum Jülich GmbH	FZJ	Forschungszentrum Jülich GmbH
Forschungszentrum Jülich GmbH, Institut für Energie- und Klimaforschung, IEK-8: Troposphäre	FZJiek8	Forschungszentrum Jülich GmbH, Institute of Energy and Climate Research, IEK-8: Troposphere
Fraunhofer-Institut für Bauphysik	FIBP	Fraunhofer Institute for Building Physics
Fraunhofer-Institut für Bauphysik, Hygrothermik	FIBPhygro	Fraunhofer Institute for Building Physics, Hygrothermics
Freie Universität Berlin	FUB	Freie Universität Berlin
Freie Universität Berlin, Institut für Meteorologie	FUBmeteo	Freie Universität Berlin, Institute of Meteorology
GEO-NET Umweltconsulting GmbH	GEONET	GEO-NET Environmental Consulting
Hochschule Offenburg	HSOG	Offenburg University of Applied Sciences
Humboldt-Universität zu Berlin	HUB	Humboldt-Universität zu Berlin
Humboldt-Universität zu Berlin, Geographisches Institut	HUBgeo	Humboldt-Universität zu Berlin, Geography Department
Ingenieursgesellschaft Prof. Sieker mbH	IPS	Engineering bureau Prof. Sieker
Institut für transformative Nachhaltigkeitsforschung	IASS	Institute for Advanced Sustainability Studies Potsdam
Karlsruher Institut für Technologie	KIT	Karlsruhe Institute of Technology
Karlsruher Institut für Technologie, Institut für Meteorologie und Klimaforschung	KITimk	Karlsruhe Institute of Technology, Institute of Meteorology and Climate Research
Karlsruher Institut für Technologie, Institut für Meteorologie und Klimaforschung, Atmosphärische Aerosolforschung	KITimkaaf	Karlsruhe Institute of Technology, Institute of Meteorology and Climate Research, Atmospheric Aerosol Research
Karlsruher Institut für Technologie, Institut für Meteorologie und Klimaforschung, Institut für Atmosphärische Umweltforschung	KITimkifu	Karlsruhe Institute of Technology, Institute of Meteorology and Climate Research, Atmospheric Environmental Research 
Karlsruher Institut für Technologie, Institut für Meteorologie und Klimaforschung, Troposphärenforschung	KITimktro	Karlsruhe Institute of Technology, Institute of Meteorology and Climate Research, Troposphere Research
Leibniz Universität Hannover	LUH	Leibniz Universität Hannover
Leibniz Universität Hannover, Institut für Meteorologie und Klimatologie	LUHimuk	Leibniz Universität Hannover, Institute of Meteorology and Climatology
Senatsverwaltung für Stadtentwicklung und Wohnen Berlin	SenSWB	Senate Departments for Urban Development and Housing Berlin
Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin	SenUVKB	Senate Departments for the Environment, Transport and Climate Protection Berlin
Technische Universität Berlin	TUB	Technische Universität Berlin
Technische Universität Berlin, Fachgebiet Klimatologie	TUBklima	Technische Universität Berlin, Chair of Climatology
Technische Universität Braunschweig	TUBS	Technische Universität Braunschweig
Technische Universität Braunschweig, Institut für Geoökologie, Klimatologie und Umweltmeteorologie	TUBSgeo	Technische Universität Braunschweig, Institute of Geoecology, Climatology and Environmental Meteorology
Technische Universität Dortmund	TUDO	TU Dortmund University
Technische Universität Dortmund, Sozialforschungsstelle	TUDOsfs	TU Dortmund University, Sozialforschungsstelle
Technische Universität Dresden	TUDD	Technische Universität Dresden
Technische Universität Dresden, Professur für Meteorologie	TUDDmeteo	Technische Universität Dresden, Chair of Meteorology
Universität Augsburg	UA	University of Augsburg
Universität Augsburg, Institut für Geographie	UAgeo	University of Augsburg, Institute of Geography
Universität Hamburg	UHH	University of Hamburg
Universität Hamburg, Meteorologisches Institut	UHHmeteo	University of Hamburg, Meteorological Institute
Universität Stuttgart	US	University of Stuttgart
Universität Stuttgart, Institut für Feuerungs- und Kraftwerkstechnik	USifk	University of Stuttgart, Institute of Combustion and Power Plant Technology
